origin,source_path,repository_relative_path,original_filename,artifact_role,experiment_ids,sha256,size_bytes,has_notebook_outputs,exact_repository_duplicate,intake_path,intake_status,modified_utc
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\00_no_aug_hook_off_baseline.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\00_no_aug_hook_off_baseline.ipynb,00_no_aug_hook_off_baseline.ipynb,unexecuted_notebook,00,30dd7e357bcd445e79e5a47c240c501d75a1ae1624a14e167ce612091d57ff06,74245,False,False,,not_applicable,2026-07-02T03:50:59.018984+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\010_train_only_highpass_a0p10_eval_original_hook_off.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\010_train_only_highpass_a0p10_eval_original_hook_off.ipynb,010_train_only_highpass_a0p10_eval_original_hook_off.ipynb,unexecuted_notebook,10,185e123b3d052ce7182f5fcf990e42c66b8a6fb5cbd80b106ad68ce3aeec901d,94017,False,False,,not_applicable,2026-07-02T03:50:59.036031+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\011_highpass_alpha_sweep_005_015_020_no_aug_hook_off.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\011_highpass_alpha_sweep_005_015_020_no_aug_hook_off.ipynb,011_highpass_alpha_sweep_005_015_020_no_aug_hook_off.ipynb,unexecuted_notebook,"05,11,15,20",9dacba534dce37692a35d6f9f7391f9391d7f8a35a07ae54d37e52423304b7fd,95432,False,False,,not_applicable,2026-07-02T03:50:59.040370+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\012_factorial_A_H_highpass_s50_a0p10.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\012_factorial_A_H_highpass_s50_a0p10.ipynb,012_factorial_A_H_highpass_s50_a0p10.ipynb,unexecuted_notebook,12,136e2614e0c5d21f8bf5cb4afaad78764996de99a415a77d788b67a2ed4a2011,87745,False,False,,not_applicable,2026-07-02T03:50:59.042389+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\013-mode-g-fourier-tuning-seed42.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\013-mode-g-fourier-tuning-seed42.ipynb,013-mode-g-fourier-tuning-seed42.ipynb,executed_notebook,13,ab95f3c370f8145ba812ec95248beae6d5ad4e608539f42063dd8e767b74a6fb,783506,True,False,,not_applicable,2026-07-02T03:50:59.054292+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\014-mode-g-highpass-local-sweep-seed42.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\014-mode-g-highpass-local-sweep-seed42.ipynb,014-mode-g-highpass-local-sweep-seed42.ipynb,executed_notebook,14,afbbd0992b1f51dde8d5dca321987f81b23aaf14e68aaf239ca87ef6566d642d,942309,True,False,,not_applicable,2026-07-02T03:50:59.058758+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\015_modeA-fouirer-hev-aug-attention.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\015_modeA-fouirer-hev-aug-attention.ipynb,015_modeA-fouirer-hev-aug-attention.ipynb,executed_notebook,15,4ceb8d26950d444738e88acede903aa9d5486fd31af589719e55a92ced768b1f,254346,True,False,,not_applicable,2026-07-02T03:50:59.060770+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\016_fourier_strongaug_hook_ablation_seed42.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\016_fourier_strongaug_hook_ablation_seed42.ipynb,016_fourier_strongaug_hook_ablation_seed42.ipynb,unexecuted_notebook,16,2b2ce0121f540191acea18e59be2f3759991e96692aa0d12538701b660dc56a3,77069,False,False,,not_applicable,2026-07-02T03:50:58.988365+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\017_learnable_feature_fourier_fddem_no_aug_hook_off_seed42.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\017_learnable_feature_fourier_fddem_no_aug_hook_off_seed42.ipynb,017_learnable_feature_fourier_fddem_no_aug_hook_off_seed42.ipynb,unexecuted_notebook,17,81b3896f345e07dcee46d24239c52ee589fea5e6df59e53938e268b337a9633b,102435,False,False,,not_applicable,2026-07-02T03:50:58.990373+00:00
repository,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\shrimp-leakage-aware-segmentation\ONLY_fourier\018_fourier_feature_refinement_no_aug_hook_off_seed42.ipynb,shrimp-leakage-aware-segmentation\ONLY_fourier\018_fourier_feature_refinement_no_aug_hook_off_seed42.ipynb,018_fourier_feature_refinement_no_aug_hook_off_seed42.ipynb,unexecuted_notebook,18,760dd56d6f69d75c9cd89612d9d40c8c7445a3bd1624e1cc3e7b3dea04145fc7,110974,False,False,,not_applicable,2026-07-02T07:35:43.018301+00:00
