label,family,augmentation,path,Unnamed: 0,experiment,name,model,run_name,run_path,best_pt,smoke_run,baseline_augmentation_policy,hidden_albumentations_disabled,apply_clahe,...,epochs_ran,best_epoch_by_mask_map50,first_train_seg_loss,best_val_mask_map50,best_val_mask_map50_95,last_val_mask_map50,last_val_mask_map50_95,last_train_seg_loss,last_val_seg_loss,seg_loss_gap_val_minus_train,labeled_val_mask_map50,labeled_val_mask_count_mae,labeled_val_disease_box_miss_rate,healthy_val_mask_fp_rate,healthy_aware_labeled_val_mask_map50,labeled_test_mask_map50,labeled_test_mask_count_mae,labeled_test_disease_box_miss_rate,healthy_test_mask_fp_rate,healthy_aware_labeled_test_mask_map50,full_test_mask_map50,healthy_fp_masks_per_image,full_box_p,full_box_r,full_box_map50,full_box_map50_95,full_mask_p,full_mask_r,full_mask_map50_from_line,full_mask_map50_95,labeled_box_p,labeled_box_r,labeled_box_map50,labeled_box_map50_95,labeled_mask_p,labeled_mask_r,labeled_mask_map50_from_line,labeled_mask_map50_95,model_type,train_time_min,full_val_box_precision,full_val_box_recall,order
Baseline clean,baseline,clean_light,yolov11n_grouped_attention/aip491-01-yolo-seg-11n-clean-baseline-fix-leakage.ipynb,0,clean_light_aug_baseline,Clean Baseline - Grouped Stratified Light YOLO...,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_clean_light_aug_baselin...,/kaggle/working/runs/segment/yolo11n-seg_shrim...,/kaggle/working/runs/segment/yolo11n-seg_shrim...,False,explicit_light_yolo_aug,True,False,...,60,52,4.89279,0.50172,0.17308,0.48141,0.16506,2.0793,4.23283,2.15353,0.491727,0.475225,0.162162,0.170732,0.426569,0.46642387019215525,0.354167,0.125,0.36585365853658536,0.39338,0.44094629912655386,0.4146341463414634,0.606,0.481,0.512,0.228,0.548,0.41,0.441,0.161,0.661,0.481,0.543,0.24,0.47,0.488,0.466,0.169,,,,,0
Baseline strong,baseline,strong,yolov11n_simam_NhomA/augmentation/yolov11n_simam_augmentation.ipynb,1,baseline,Baseline YOLO11n-seg,yolo11n-seg.pt,simam_augmentation_run_baseline,/content/runs/segment/simam_augmentation_run_b...,/content/runs/segment/simam_augmentation_run_b...,,,,,...,89,61,4.92859,0.55071,0.18956,0.5221,0.18316,2.47931,3.61225,1.13294,,,,,,0.506154525310772,,,0.36585365853658536,,0.4814876557017343,0.3902439024390244,,,,,0.674,0.446,0.481,0.171,,,,,0.705,0.465,0.506,0.179,baseline,63.46,0.847529,0.488354,1
SimAM_CA strong,previous_best,strong,yolov11n_simam_NhomA/augmentation/yolov11n_simam_augmentation.ipynb,0,simam_ca,YOLO11n-seg + SimAM + CA,/content/ultralytics/ultralytics/cfg/models/11...,simam_augmentation_run_simam_ca,/content/runs/segment/simam_augmentation_run_s...,/content/runs/segment/simam_augmentation_run_s...,,,,,...,100,67,5.23171,0.54849,0.19324,0.51067,0.1859,2.56955,3.17588,0.60633,,,,,,0.5507262623789929,,,0.34146341463414637,,0.5198326711995382,0.3902439024390244,,,,,0.636,0.497,0.52,0.187,,,,,0.743,0.497,0.551,0.196,attention,71.63,0.734363,0.497594,2
CoTE,research,clean_light,custom_attention_research_modules/results/cote-gate.ipynb,0,cote_gate,YOLO11n-seg + CoTE-Gate - Consensus-Regularize...,/kaggle/working/custom_attention_research_modu...,cote_gate,/kaggle/working/runs/custom_attention_research...,/kaggle/working/runs/custom_attention_research...,False,explicit_light_yolo_aug,True,False,...,98,74,11.1607,0.42471,0.13719,0.38837,0.13137,2.46131,3.81663,1.35532,0.432652,0.576577,0.162162,0.292683,0.35023,0.4160885777831951,0.5625,0.102273,0.43902439024390244,0.32872,0.37158450517954367,0.4878048780487805,0.531,0.423,0.429,0.155,0.488,0.386,0.372,0.0992,0.624,0.423,0.482,0.175,0.57,0.386,0.416,0.112,,,,,3
LPSC,research,clean_light,custom_attention_research_modules/results/lpsc-gate.ipynb,0,lpsc_gate,YOLO11n-seg + LPSC-Gate - Lesion-Preserving NA...,/kaggle/working/custom_attention_research_modu...,lpsc_gate,/kaggle/working/runs/custom_attention_research...,/kaggle/working/runs/custom_attention_research...,False,explicit_light_yolo_aug,True,False,...,100,80,9.69501,0.38153,0.14952,0.34344,0.1333,2.47958,3.85438,1.3748,0.407335,0.565315,0.121622,0.243902,0.336435,0.4012489132128696,0.651515,0.113636,0.3170731707317073,0.31992,0.35492608717710766,0.4878048780487805,0.482,0.385,0.388,0.155,0.434,0.347,0.355,0.102,0.575,0.385,0.448,0.179,0.502,0.347,0.401,0.114,,,,,4
SCSG,research,clean_light,custom_attention_research_modules/results/scsg-gate.ipynb,0,scsg_gate,YOLO11n-seg + SCSG-Gate - Scale-Aware Coordina...,/kaggle/working/custom_attention_research_modu...,scsg_gate,/kaggle/working/runs/custom_attention_research...,/kaggle/working/runs/custom_attention_research...,False,explicit_light_yolo_aug,True,False,...,83,69,9.47901,0.44417,0.12882,0.41044,0.12649,2.69686,3.61549,0.91863,0.444802,0.484234,0.216216,0.195122,0.368646,0.3005792045745276,0.435606,0.125,0.4146341463414634,0.218585,0.2694972611716394,0.4878048780487805,0.416,0.418,0.337,0.122,0.348,0.392,0.269,0.0758,0.503,0.426,0.378,0.139,0.419,0.404,0.301,0.0843,,,,,5
CoTE strong,research,strong,custom_attention_research_modules/results/cote-gate-strong-augmentation.ipynb,0,cote_gate_strong_augmentation,YOLO11n-seg + CoTE-Gate - Consensus-Regularize...,/kaggle/working/custom_attention_research_modu...,cote_gate_strong_augmentation,/kaggle/working/runs/custom_attention_research...,/kaggle/working/runs/custom_attention_research...,False,strong_yolo_aug_matched_to_simam_ca,True,False,...,100,83,11.4637,0.45161,0.15971,0.43914,0.15429,3.24591,3.2658,0.01989,0.46874,0.317568,0.094595,0.146341,0.424038,0.4865160042542545,0.409091,0.090909,0.3170731707317073,0.420718,0.4329191638440613,0.4146341463414634,0.581,0.491,0.494,0.178,0.541,0.453,0.433,0.123,0.661,0.491,0.552,0.199,0.634,0.454,0.487,0.136,,,,,6
LPSC strong,research,strong,custom_attention_research_modules/results/lpsc-gate-strong-augmentation.ipynb,0,lpsc_gate_strong_augmentation,YOLO11n-seg + LPSC-Gate - Lesion-Preserving NA...,/kaggle/working/custom_attention_research_modu...,lpsc_gate_strong_augmentation,/kaggle/working/runs/custom_attention_research...,/kaggle/working/runs/custom_attention_research...,False,strong_yolo_aug_matched_to_simam_ca,True,False,...,100,83,10.7892,0.39733,0.12693,0.39018,0.14322,3.38205,3.35581,-0.02624,0.405317,0.434685,0.121622,0.121951,0.353144,0.463470043094169,0.405303,0.215909,0.2682926829268293,0.383989,0.42689705064860745,0.2682926829268293,0.528,0.47,0.48,0.195,0.5,0.408,0.427,0.133,0.597,0.476,0.522,0.211,0.532,0.435,0.463,0.143,,,,,7
CoLPSC,research_hybrid,clean_light,custom_attention_research_modules/colpsc_gate/colpsc-gate.ipynb,0,colpsc_gate,YOLO11n-seg + CoLPSC-Gate - CoTE + LPSC Hybrid,/kaggle/working/custom_attention_research_modu...,colpsc_gate,/kaggle/working/runs/custom_attention_research...,/kaggle/working/runs/custom_attention_research...,False,explicit_light_yolo_aug,True,False,...,85,55,9.9018,0.38105,0.13447,0.34705,0.12582,2.67523,3.69667,1.02144,0.397417,0.621622,0.216216,0.243902,0.309514,0.3736110858606919,0.477273,0.136364,0.4634146341463415,0.282951,0.321846111960887,0.4878048780487805,0.442,0.47,0.374,0.123,0.391,0.429,0.322,0.0786,0.558,0.47,0.426,0.142,0.495,0.429,0.374,0.0898,,,,,8
CoLPSC strong,research_hybrid,strong,custom_attention_research_modules/colpsc_gate/colpsc-gate-strong-augmentation.ipynb,0,colpsc_gate_strong_augmentation,YOLO11n-seg + CoLPSC-Gate - CoTE + LPSC Hybrid...,/kaggle/working/custom_attention_research_modu...,colpsc_gate_strong_augmentation,/kaggle/working/runs/custom_attention_research...,/kaggle/working/runs/custom_attention_research...,False,strong_yolo_aug_matched_to_simam_ca,True,False,...,100,90,11.2128,0.45199,0.15551,0.44552,0.14419,3.25718,3.38153,0.12435,0.461956,0.448198,0.148649,0.170732,0.400175,0.4092430106481796,0.486742,0.193182,0.2926829268292683,0.32666,0.36686550816236907,0.36585365853658536,0.479,0.562,0.465,0.169,0.413,0.49,0.367,0.107,0.549,0.566,0.516,0.187,0.474,0.49,0.409,0.119,,,,,9
